country,iso3,region,sub_region,population_2020,year,parent_location,obesity_low,obesity,obesity_high,overweight_low,overweight,overweight_high,underweight_low,underweight,underweight_high
Croatia,HRV,Europe,Southern Europe,4047200,2016,Europe,22.4,27.1,32.1,59.9,64.3,68.8,0.4,0.9,1.7
Haiti,HTI,Americas,Latin America and the Caribbean,11402533,2016,Americas,16,20.5,25.6,45.9,51.1,56.1,2.5,4.6,7.7
Hungary,HUN,Europe,Eastern Europe,9749763,2016,Europe,23.5,28.6,34,60.8,65.4,70.1,0.6,1.4,2.8
Indonesia,IDN,Asia,South-eastern Asia,273523621,2016,South-East Asia,5.1,6.9,9.1,24.4,28.3,32.3,8.9,12.4,16.3
India,IND,Asia,Southern Asia,1380004385,2016,South-East Asia,2.9,3.8,4.9,16.5,19.3,22.3,19.7,23.3,27.3
Ireland,IRL,Europe,Northern Europe,4994724,2016,Europe,22.3,26.9,31.7,59.2,63.6,67.7,0.4,0.8,1.4
Iran,IRN,Asia,Southern Asia,83992953,2016,Eastern Mediterranean,22.2,25.5,28.9,57.2,60.9,64.6,2.7,3.7,5
Iraq,IRQ,Asia,Western Asia,40222503,2016,Eastern Mediterranean,22.7,27.4,32.4,55.4,59.8,64.2,1.5,2.7,4.3
Iceland,ISL,Europe,Northern Europe,366425,2016,Europe,19.1,23.1,27.4,57.3,61.5,65.5,0.5,1.1,1.8
Israel,ISR,Asia,Western Asia,9216900,2016,Europe,21.9,26.7,31.6,60.8,65.3,69.6,0.4,0.9,1.7
